name,region,state,vertical_drop_ft,base_elevation_ft,num_trams,fast_six_lifts,fast_quad_lifts,quad_lifts,triple_lifts,double_lifts,surface_lifts,total_chairs,num_runs,terrain_parks,longest_run_mi,skiable_terrain_acres,snow_making_acres,years_open,average_snowfall_in,adult_weekday_price,adult_weekend_price,projected_days_open,night_skiing_acres,open_rate_last_year,total_lifts
Alyeska Resort,Alaska,Alaska,2500,250,1,0,2,2,0,0,2,7,76.0,2.0,1.0,1610.0,113.0,60.0,669.0,65.0,85.0,150.0,550.0,1.0,7
Eaglecrest Ski Area,Alaska,Alaska,1540,1200,0,0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,44.0,350.0,47.0,53.0,90.0,0.0,0.5,4
Hilltop Ski Area,Alaska,Alaska,294,1796,0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,36.0,69.0,30.0,34.0,152.0,30.0,0.9868421052631579,3
Arizona Snowbowl,Arizona,Arizona,2300,9200,0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,81.0,260.0,89.0,89.0,122.0,0.0,1.0,8
Sunrise Park Resort,Arizona,Arizona,1800,9200,0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,49.0,250.0,74.0,78.0,104.0,80.0,1.1057692307692308,7
Yosemite Ski & Snowboard Area,Northern California,California,600,7200,0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,0.0,84.0,300.0,47.0,47.0,107.0,0.0,1.02803738317757,5
Dodge Ridge,Sierra Nevada,California,1600,6600,0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,0.0,69.0,350.0,78.0,78.0,140.0,0.0,1.0714285714285714,12
Donner Ski Ranch,Sierra Nevada,California,750,7031,0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,82.0,400.0,75.0,75.0,170.0,0.0,0.9588235294117647,8
Mammoth Mountain Ski Area,Sierra Nevada,California,3100,7953,3,2,9,1,6,4,0,25,154.0,7.0,3.0,3500.0,700.0,66.0,400.0,149.0,159.0,144.0,0.0,1.6875,25
Mt. Shasta Ski Park,Sierra Nevada,California,1435,5500,0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,34.0,300.0,49.0,59.0,130.0,0.0,1.0769230769230769,4
Mountain High,Sierra Nevada,California,1600,6600,0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,95.0,108.0,84.0,84.0,150.0,73.0,0.7866666666666666,14
Mt. Baldy,Sierra Nevada,California,2100,6500,0,0,0,0,0,4,0,4,26.0,0.0,2.5,400.0,80.0,67.0,178.0,69.0,69.0,200.0,0.0,0.875,4
Ski China Peak,Sierra Nevada,California,1679,7030,0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,62.0,300.0,83.0,83.0,144.0,0.0,0.9722222222222222,11
Snow Valley,Sierra Nevada,California,1041,6800,0,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,82.0,160.0,69.0,79.0,143.0,164.0,0.7762237762237763,12
Soda Springs,Sierra Nevada,California,652,6700,0,0,0,0,1,1,2,4,18.0,0.0,0.4,200.0,20.0,83.0,400.0,50.0,50.0,144.0,0.0,1.0416666666666667,4
Sugar Bowl Resort,Sierra Nevada,California,1500,6883,1,0,5,3,1,0,2,12,105.0,3.0,3.0,1650.0,375.0,80.0,500.0,125.0,125.0,150.0,0.0,1.0066666666666666,12
Tahoe Donner,Sierra Nevada,California,600,6750,0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,0.0,48.0,400.0,69.0,69.0,144.0,0.0,1.0416666666666667,5
Arapahoe Basin Ski Area,Colorado,Colorado,2530,10780,0,0,1,2,1,2,3,9,145.0,3.0,1.5,1428.0,125.0,73.0,350.0,85.0,85.0,233.0,0.0,0.9871244635193133,9
Aspen / Snowmass,Colorado,Colorado,4406,8104,3,1,15,4,3,5,9,40,336.0,10.0,5.3,5517.0,658.0,72.0,300.0,179.0,179.0,138.0,0.0,1.0,40
Copper Mountain Resort,Colorado,Colorado,2738,9712,1,2,4,0,4,4,9,24,150.0,6.0,1.7,2527.0,364.0,47.0,300.0,158.0,158.0,164.0,0.0,1.0,24
Purgatory,Colorado,Colorado,2029,8793,0,1,2,0,3,3,3,12,101.0,9.0,1.3,1605.0,250.0,54.0,260.0,89.0,89.0,130.0,0.0,1.0,12
Howelsen Hill,Colorado,Colorado,440,6696,0,0,0,0,0,1,3,4,17.0,1.0,6.0,50.0,25.0,104.0,150.0,25.0,25.0,100.0,10.0,1.0,4
